What,Complete,Date,Topic
❣️ Sounds Good,Yes,"January 23, 2026",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Drom + Raku,Yes,"October 6, 2023",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Distillery date,Yes,"December 7, 2025",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Jazz Triple Date,Yes,"January 9, 2026",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Barkat + Reservoir lounge,Yes,"November 2, 2023",
"Skipped, cottage",Yes,"September 2, 2023",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Kingyo,Yes,"October 11, 2023",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Rosewood,Yes,"November 8, 2023",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Niagara,Yes,"August 26, 2023",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Comedy show for birthday,Yes,"September 9, 2023",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Indoor post micro-needle,Yes,"November 16, 2023",
Salad king + Mekan,Yes,"October 18, 2023",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Rachel Bobbit @Drake,Yes,"September 17, 2023",
Jazz fest Kensington,Yes,"September 30, 2023",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Bampot house of tea,Yes,"October 25, 2023",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Pool + Wine,Yes,"January 16, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Terroni,Yes,"February 13, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
VR Room,Yes,"January 9, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Valentines Dinner,Yes,"February 23, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
"One of a kind, Holy Beef",Yes,"November 28, 2023",
915 and Blood Brothers,Yes,"January 25, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Wings + Karaoke,Yes,"January 30, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Rush SiX tickets,Yes,"December 5, 2023",
Billiards Spadina Dundas,Yes,"November 19, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
'Christmas',Yes,"January 11, 2025",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Local Theatre @ Distillery,Yes,"January 15, 2025",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Lion King,Yes,"December 10, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Winterpeg,Yes,"December 24, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Christmas Market/terroni,Yes,"December 3, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
New years - Christmas,Yes,"December 31, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Wicked movie,Yes,"November 29, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Bar Vendetta + interactive movie,Yes,"October 29, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Mogouya noodles,Yes,"November 13, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Walk @ Mt pleasant Cemetery,Yes,"October 14, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
CAMH Gala,Yes,"November 9, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Swansea Park + Queen Pasta,Yes,"October 7, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Okonomiaki House,Yes,"October 3, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Skipped: Short week,Yes,"October 22, 2024",
Bampot,Yes,"March 19, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Virginia,Yes,"July 29, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
"Skipped, Break after August",Yes,"September 4, 2024",
Birthday Dinner + 'jazz',Yes,"September 12, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Montreal,Yes,"August 5, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
Birthday dinner w/ dad,Yes,"September 18, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
DZO Viet,Yes,"August 28, 2024",Relationship (https://www.notion.so/2f7a1339f88a810aac02ddabc6d149b2?pvs=21)
